codigo,descricao,tamanho,valor,valor_promocao,quantidade
6811,JOGO BERCO TEKA 02 PC SONINHO,,13.99,,1
6859,TOALHA TEKA BANHO TERNURA,,4.99,,1
6866,TOALHA TEKA BANHO 1 50,,4.99,,1
6880,CAMISETA CLEOMARA REGATA 02 08,,3.50,,1
6897,BLUSA ABNER HELANCA AD,,1.99,,1
7115,CAMISETA MALWEE REF 4665 4 8,,8.99,,1
7139,BLUSA ABNER TULY AD,,4.99,,1
7306,CAMISETA RED SUN MALHA 04 14 ML,,0.99,,1
7320,CAMISETA FINE COLLECTION REGATA,,4.99,,1
7405,BLUSAO ANDREZA MOLETON 02 06,,2.99,,1
7597,CAMISA MALHAS TREZE POLO,,6.99,,1
7627,BLUSA DUBLACK RIBANA 04 08 REF 4105,,4.99,,1
8037,BLUSA SANGROS M M FEM 04 12,,1.99,,1
8075,MODINHA DIVERSIFICADAS,,1.99,,1
8105,BLUSAO ANDREZA MOLETON AD,,2.99,,1
8181,TOMARA QUE CAIA POP ART HELANCA REF,,4.99,,1
8877,CAMISA MAC GIANT CAMBRAIA MC 2501,,17.99,,1
9362,BLUSAO MALWEE MOLETON REF4628 10 16,,15.99,,1
9386,CAMISA MAC GIANT FIO TINTO 05 06 MC,,15.99,,1
9553,BLUSA ANJOTEX MALANGE M L REF 304,,4.99,,1
9713,BLUSA ANJOTEX VISCOLY DIVERSAS PMG,,12.99,,1
9744,CAMISA MAC GIANT MALHA JACKAR,,8.99,,1
9829,TWIN SET RANDA MUNDO 10 14 REF 183,,4.99,,1
9843,VESTIDO ALGODAOZINHO BOUCLE REF 815,,15.99,,1
9867,CAMISA ANJOTEX PV M L REF 442,,4.99,,1
10030,CAMISA MAC GIANT PEOPLE LISA ADULTO,,11.99,,1
10146,BLUSA KW90 SUPLEX M L INF,,7.99,,1
10283,CAMISA MAC GIANT TRICOLINE ML 05 06,,19.99,,1
10436,BLUSA ALVORADA REF 150 S M G ALTA,,7.99,,1
10467,BLUSAO ROVSTAR MOLETON PMG DIVERSOS,,14.99,,1
11433,BLUSA MALWEE REF 4588 PMG,,23.99,,1
11556,MODINHA DIVERSIFICADAS,,0.99,,1
11563,BERMUDA MALWEE INFANTIL DIVERSAS,,4.99,,1
12324,BERMUDA KW90 KANVAS FINA REF 064,,9.99,,1
12430,BERMUDA RIFFY SARJA AD,,14.99,,1
12485,BERMUDA RIFFY JEANS FEM,,10.99,,1
12560,MIJAO FEROZ MALHA REF 019 026 S PE,,0.99,,1
12638,FRALDA DENGO 850001 65X65 LISA,,7.99,,1
12706,CAMISETA VENEZA ALGODAO M M BEBE,,1.50,,1
12782,CALCA PLASTICA PREFERIDA INF MELHOR,,1.99,,1
12836,TANGA BASIC FEMME COTTON PMG GG,,3.50,,1
13161,EDREDON TEKA SOLTEIRO CLASSIC,,9.99,,1
13215,BLUSA KW90 PROMOCAO,,1.99,,1
13222,BABADOR BIA BABY PLASTIFICADO REF 1,,0.99,,1
13291,BABADOR BIA BABY PREND C CHUPETA RE,,1.50,,1
13352,PAGAO FEROZ MALHA 03PC,,3.99,,1
13390,MACACAO FEROZ MALHA REF 002,,8.99,,1
13499,CALCA ROVITEX AD PROMOCAO,,4.99,,1
13819,CAMISOLA SONHO FELIZ 017 022 AD EST,,15.99,,1
13833,CAMISOLA SONHO FELIZ 363 366 367INF,,9.99,,1
13871,BABY DOOL SONHO FELIZ AD,,9.99,,1
13895,PIJAMA SONHO FELIZ 454 455 INF MASC,,10.99,,1
13901,JUDOCA SONHO FELIZ 200 203 242 AD,,14.99,,1
13918,CAMISOLA SONHO FELIZ 013 EST AD,,11.99,,1
13925,PIJAMA SONHO FELIZ AD EST,,14.99,,1
14229,CAMISA MAC GIANT TRICOLINE SILK AD,,12.99,,1
14304,BLUSA KW90 SUPLEX M L AD DIVERSAS,,17.99,,1
14496,SHORT DIVERSOS INFANTIL,,0.99,,1
14595,CONJUNTO ANJOTEX MOLETON FEM AD REF,,16.99,,1
14656,CONJUNTO RANDA MUNDO 02 08 REF 185,,6.99,,1
15318,TUNICA MC JU MAGUINETADO SENHORA ML,,4.99,,1
15936,CAMISOLA SONHO FELIZ 011 ALCA SILK,,9.99,,1
16018,BLUSA ALVORADA TRANCADA REF 043,,16.99,,1
16070,SAIA POA TEXTIL SECRETARIA,,6.99,,1
16520,MAIO MARILAN LYCRA AD,,11.99,,1
16629,BLUSA ALVORADA ABERTA BOTAO REF 061,,4.99,,1
16735,BLUSA KW90 SUPLEX DIVERSAS,,4.99,,1
16803,MEIA RIKAM ELETRONICA INF,,2.50,,1
16810,MEIA RIKAM SOQUETE JUVENIL,,2.70,,1
16957,CALCA ALFA PONTO ROMA INFANTIL,,4.99,,1
17336,BLUSA ANJOTEX SUPLEX DIVERSAS,,1.99,,1
17411,BLUSA ANJOTEX REF 164,,6.99,,1
17435,BLUSA ANJOTEX HELANCA SILICONADA,,5.99,,1
17466,BLUSA ANJOTEX HELANCA EST DIVERSAS,,5.99,,1
17541,SAIA CLEARLIGTH CURTA,,4.99,,1
17565,CONJUNTO MALWEE REF 4462 4 8,,19.99,,1
17800,CALCA RENALUCCI HELANCA PMG,,3.99,,1
17916,CAMISA DIVERSAS PENTEADA,,4.99,,1
18517,MEIA RIKAM 1600 SOQUETE FEM,,2.99,,1
18593,TOALHA TEKA ROSTO SAFIRA,,1.99,,1
18777,BLUSA SCUZI RIBANA C ELASTANO 10 14,,2.99,,1
18814,TUNIQUETE MC JU VELUDO REF 90950,,11.99,,1
18975,CALCINHA INTIMUS,,6.99,,1
19040,CONJ PAGAO JM JARDIM 03 PC,,4.50,,1
19095,BLUSA MALWEE REF 4486 10 16,,8.99,,1
19187,BLUSA MALWEE REF 4487 10 16,,8.99,,1
19507,CONJUNTO MALWEE DIVERSOS,,15.99,,1
19644,CONJUNTO MALWEE DIVERSOS,,11.99,,1
19668,CONJUNTO MALWEE DIVERSOS,,25.99,,1
19736,BLUSA MALWEE DIVERSAS,,9.99,,1
19743,CAMISA MALWEE DIVERSAS,,4.99,,1
19903,VESTIDO MALWEE DIVERSOS,,9.99,,1
19941,BERMUDA MALWEE REF 3238 04 08,,4.99,,1
20114,BLUSA ALFA TRICOLINE CIGANA BORD AD,,9.99,,1
20145,BLUSA AGTON SUPLEX,,11.99,,1
20176,CUECA JESS E JOYCE ALG AD,,1.70,,1
20442,CACHARREL ALVORADA ACRILICA REF 011,,2.99,,1
20862,TUNICA LUNENDER HELANCA REF 6679 MG,,7.99,,1
20947,CAMISA ROVITEX PIQUET POLO AD,,19.99,,1
21296,BLUSA AGTON ALCINHA VERAO,,4.99,,1
21319,SAIA AGTON HELANCA SEC,,4.99,,1
24013,MEIA MILENE FEM SOQUETE,,1.99,,1
24020,TANGA MILENE LADY SILICONE,,3.99,,1
24044,MEIA MAN CLUB CANO ALTO 142 MASC,,2.99,,1
24082,JOGO BERCO SIAMAR 02PC REF 02,,11.99,,1
24136,TROCADOR SIAMAR PLASTIF REF 105,,11.99,,1
24143,EDREDON SIAMAR P BERCO REF 104,,30.99,,1
24167,COLCHA SIAMAR P BERCO  REF 047,,13.99,,1
24181,PORTA FRALDAS SIAMAR REF 111,,15.99,,1
24587,SHORT FLUKE MODINHA,,2.99,,1
24686,TOALHA TEKA BANHO KILO,,4.99,,1
24693,TOALHA TEKA ROSTO KILO BASIC,,1.99,,1
24877,BERMUDA FLUKE SALDO DIVERSOS,,9.99,,1
25010,BLUSA MALWEE MOLETON DIVERSAS,,7.99,,1
25102,VESTIDO MALWEE INFANTIL 04 08,,4.99,,1
25164,PECAS MALWEE DIVERSAS 01 03,,0.99,,1
25201,PECAS MALWEE DIVERSAS 04 08,,1.99,,1
25447,TOALHA TEKA PISO EXPORTACAO,,4.99,,1
25454,COLCHA TEKA SOLTEIRO TEKINHA,,4.99,,1
25485,COLCHA TEKA MATELASSE TEKINHA,,25.99,,1
25898,CALCA CORINGA MOLETON 10 16 PA,,1.99,,1
26161,BABY LOOK SCHAFER MALHA M L 04 12,,3.50,,1
26178,BLUSA SCHAFER TRANSFER DECOTE V,,3.50,,1
26246,BLUSAO ROVITEX MOL DIVERSOS PMG,,4.99,,1
26260,BLUSAO ROVITEX MOLETON DIVERSOS FEM,,4.99,,1
26277,BLUSA ROVITEX FEM REF 621,,4.99,,1
26284,BLUSA ROVITEX COTTON HELANCA RIBANA,,1.99,,1
26420,CONJUNTO ARTE COR ELASTANO 04 14 RE,,4.99,,1
26437,CALCA ROWERS JEANS FEMININA,,4.99,,1
26451,CALCA ROWERS SARJA JEANS FEM,,9.99,,1
26536,MODINHA DIVERSIFICADAS,,0.99,,1
26581,CALCA ANDREZA MOLETON ADULTO,,4.99,,1
26642,JOGO DE BERCO ALVINHA 0851007 02PC,,9.99,,1
26888,BLUSA MALWEE REF 3427 10 16 FEM,,10.99,,1
27182,PIJAMA MALWEE FEM REF 3588 04 08,,16.99,,1
27243,PIJAMA MALWEE REF 3595 10 16,,22.99,,1
27304,CONJUNTO MALWEE REF 3705 04 08,,4.99,,1
27922,BLUSA ANJOTEX CASCHEMIRE M L,,10.99,,1
27960,BLUSA ANJOTEX RIBANA CANELADA CACHA,,10.99,,1
28172,SAPATILHA AUGUSTU S 322 COURO,,4.99,,1
28363,PIJAMA SONHO FELIZ MASC M L ADULTO,,14.99,,1
28646,CALCA CORINGA MOLETON INFANTIL,,0.99,,1
28707,BERMUDA KW90 BRIM PELITIZADA AD,,4.99,,1
28738,TWIN SET KW90 REF 150,,9.99,,1
29049,CALCA MALWEE UNISSEX M G,,4.99,,1
29056,CALCA MALWEE UNISSEX 01 03,,0.99,,1
29315,CALCINHA DE MILLUS LYCRA AD,,2.99,,1
29469,CALCA MALWEE FEM REF 3989 04 08,,4.99,,1
29476,CALCA MALWEE FEM REF 3989 10 16,,4.99,,1
29988,CORTINA SIAMAR REF 602,,27.99,,1
30274,CAMISA MAC GIANT CAMBRAIA 05 06,,4.99,,1
30298,FRALDA DENGO 850002 65X65 ESTAMPADA,,7.99,,1
30304,FRALDA ALVINHA 851000 65X65 LISA,,4.99,,1
30533,CALCA JEANS V B,,9.99,,1
30540,TANGA MILENE LADY LYCRA,,3.50,,1
30663,BERMUDA KW90 KANVAS FINA INFANTIL,,4.99,,1
31318,CAMISETA FINE COLLECTION PMG DIVERS,,9.99,,1
31325,BLUSA FINE COLLECTION FEMININA,,4.99,,1
31332,BERMUDA GRAFF MOLET 106 177 414 INF,,2.99,,1
31622,CALCA LILAZ SOCIAL OXFORD FEMININA,,4.99,,1
31783,BLUSA 1 DENIER FEM M C,,2.99,,1
32049,CAMISETA DANY REGATA 04 12,,1.99,,1
32933,SAIA DABLOS FEM AD,,4.99,,1
32940,JOGO LENCOL DOMETILDE 2 PCS,,4.99,,1
32988,CAMISETA MALWEE DIVERSOS,,12.99,,1
33213,CAMISA ACTUAL MAN M L ADULTO,,9.99,,1
33282,CALCA LUZ E PAZ P ROMA REF 630,,4.99,,1
33343,REGATA ANJOTEX POLIESTER REF 667,,4.99,,1
33411,TANGA SENY LYCRA SORTIDA,,3.99,,1
33442,CALCOLA SENY LYCRA COZ ALTO REF 030,,4.99,,1
33770,CALCINHA DULOREN LYCRA,,19.99,,1
33787,SOUTIEN DULOREN LYCRA,,29.99,,1
33947,CALCINHA SALIANA LYCRA AD,,1.99,,1
33954,SOUTIEN SALINA LYCRA ADULTO,,1.99,,1
34074,CALCA TRAYMON SOCIAL LOTE 200,,4.99,,1
34104,CALCA TRAYMON SOCIAL OXFORD REF4130,,26.99,,1
34135,CALCA FLUKE ALFAIATARIA REF 20096,,4.99,,1
34173,SHORT KW90 BRIM PELETIZADO FEM INF,,11.99,,1
34289,BLUSA MENINAS GERAIS C BRILHO TULE,,4.99,,1
34333,BERMUDA TACTEL ADULTO,,4.99,,1
34357,CALCA VILEJACK BRIM LYCRA FEM,,9.99,,1
34364,BERMUDA CLEOMARA MOLETON 02 08,,1.50,,1
35088,CALCA RENALUCCI GORGURAO GG EG,,4.99,,1
35729,CONJUNTO ROVITEX 04 08 DIVERSOS,,4.99,,1
35750,CALCA ROLI SARJA,,4.99,,1
36924,CALCINHA ALG INF,,0.99,,1
37129,JAQUETA TECIMIL NAPA FEM AD,,12.99,,1
37204,CAMISETA ARTE COR MALHA LISTRADA ML,,0.99,,1
37211,CASACO AIROSO OXFORD REF 10075,,26.99,,1
37266,CALCINHA MILENE COTTON 042 PMG ELAS,,3.50,,1
37365,BLUSA ROVITEX MOLETON INF PROMOCAO,,0.99,,1
37372,CALCA ROVITEX MOLETON 4 16 PROMOCAO,,0.99,,1
37471,CALCA MARRIOT HELANCA FEM AD PMG GG,,4.99,,1
38140,JOGO CAMA TEKA CASAL SIMPLES CLASSI,,27.99,,1
38232,CALCA JEEL PIERRE LEROC SARJA AD,,9.99,,1
38256,CALCA PIERRE LEROC SARJA PELETIZADA,,4.99,,1
38317,BLUSA KIKANA RIBANA ML 10 14,,2.99,,1
38478,CALCA TRAYMON FANTASIA REF 8301,,4.99,,1
38485,CALCA VGA SARJA REF 2147 SPORTWEAR,,19.99,,1
38492,CALCA VGA SARJA REF 2510 SPORTWEAR,,7.99,,1
38508,CALCA TRAYMON MICROFIBRA REF 500,,4.99,,1
38669,CALCA RENALUCCI HELANCA GG EG,,4.99,,1
38805,SAIA RANGEL S SARJA REF 20518 SECR,,4.99,,1
38829,CALCA TECIDO CRU FEM,,17.99,,1
38911,CUEIRO DENGO ALGODAO 03PC,,8.99,,1
38928,BABADOR DENGO,,0.90,,1
39123,MEIA PIMPOM ALGODAO 197 BABY,,0.99,,1
39291,BLUSA MALWEE REF 16219 JUV,,10.99,,1
39437,BLUSA MALWEE REF 16058 PMG,,4.99,,1
39635,BLUSA MARRIOT SUPLEX REF 01 SILK SM,,4.99,,1
40167,BLUSA MIX WEAR HELANCA REF3156 JUV,,1.99,,1
40174,BLUSA MIX WEAR HELANCA REF3156 PMG,,2.99,,1
40181,CAMISETA MIX WEAR PIQUET RF4025 INF,,1.99,,1
40204,BLUSA MIX WEAR RIBANA REF4022 02 08,,0.99,,1
40242,REGATA MIX WEAR HELANCA REF3155 JUV,,0.99,,1
40259,REGATA MIX WEAR MALHA REF8076 02 08,,1.99,,1
40266,BLUSA MIX WEAR HELANCA REF4029 JUV,,0.50,,1
40679,BLUSA MENINAS GERAIS HELANCA C SILK,,3.99,,1
40693,SHORT DIVERSOS NYLON PMG,,2.99,,1
40709,MAIO DIVERSOS LYCRA PMG,,4.99,,1
40716,SUNGA DIVERSAS LYCRA PMG,,4.99,,1
40747,BERMUDA KARISMAR GORGURAO AD,,7.99,,1
40990,REGATA GRAF MALHA REF142 02 08 SILK,,2.99,,1
41027,BLUSA MARRIOT HELANCA 1 2 MANGA,,6.99,,1
41041,CONJUNTO MARRIOT P ROMA REF 090 INF,,5.99,,1
41058,CALCA MARRIOT P ROMA REF102 CAPRI,,4.99,,1
41263,BLUSA MALWEE REF 16641 AD PG,,7.99,,1
41546,BABY DOOL SONHO FELIZ COTTON AD,,11.99,,1
41584,CAMISA MAC GIANT TENCEL LISA MC2110,,24.99,,1
41751,REGATA PITOKINHO RIBANA DIVERSAS,,2.99,,1
41775,CONJUNTO PITOKINHO 04 08 FEM DIVERS,,4.99,,1
42079,CALCA LUZ E PAZ JEANS REF 1330,,4.99,,1
42178,SAIA LUZ E PAZ TULY LAZER REF 1301,,15.99,,1
42239,SHORT ALFA ANARRUGA,,4.99,,1
42468,BLUSA PINGO MANIA RIBANA INF JUV,,4.99,,1
42482,BABY LOOK SCUZI RIBANA SILK PMG,,0.99,,1
42925,FRONHA TEKA COLORE,,9.99,,1
42932,TOALHA TEKA BANHO ATENAS,,16.99,,1
42970,PANO COPA TEKA NATALINO 40X65,,6.99,,1
43526,CALCA MONIA BRIM REF 446 CAPRI BOLS,,4.99,,1
43595,SHORT MONIA REF 444 448 705,,4.99,,1
43656,CONJUNTO SOLETEX MALHA 04 08,,4.99,,1
43687,BLUSA MEREJAK MALHA DIVERSAS,,3.99,,1
43977,BERMUDA ROLI JEANS AD,,4.99,,1
44097,TANGA SENY ALGODAO 13B LISA AD,,1.50,,1
